id,name,synonyms
9379009,Comedy Club,['Comedy Bar']
9352004,Computer & Data Services,"['Data Services', 'Computer Services', 'IT Services']"
9352005,Software Company,"['Software Design', 'Software Engineering']"
7318002,Concert Hall,['Music Hall']
7303006,Condominium Complex,"['Condominium Block', 'Condominium', 'Condo']"
9352032,Construction Company,[]
9361042,Construction Material & Equipment,"['Building Supplies', 'Construction Equipment', 'Builders Merchant', 'Construction Supplies', 'Construction Material']"
9361009,Convenience Store,"['Corner Store', 'Dairy', 'Corner Shop', 'Superette', 'General Store']"
7315095,Corsican Restaurant,"['Corsican Cuisine', 'Corsican Food']"
7304002,Cottage Rental,[]
8099017,Cove,[]
7315063,Creole Restaurant,"['Creole Cuisine', 'Creole Food']"
7315013,Crêperie,['Pancake House']
7374003,Cricket Ground,"['Cricket Oval', 'Cricket Green', 'Cricket Pitch', 'Cricket Field']"
7315096,Cuban Restaurant,"['Cuban Cuisine', 'Cuban Food']"
7372015,Culinary School,"['Hotel Management Institute', 'Catering School']"
9160004,Currency Exchange,['Money Exchange']
7315097,Cypriot Restaurant,"['Cypriot Food', 'Cypriot Cuisine']"
7315068,Czech Restaurant,"['Czech Food', 'Czech Cuisine']"
7376007,Dam,[]
9378003,Dance Studio & School,"['Dance Studio', 'Dance School', 'Dance Academy']"
7315098,Danish Restaurant,"['Danish Food', 'Danish Cuisine']"
9361060,Delicatessen,"['Deli', 'Delicacies']"
7318008,Dinner Theater,['Dinner Theatre']
9379002,Disco Club,"['Club', 'Dance Hall', 'Disco', 'Nightclub', 'Discotheque']"
9352006,Diversified Financials,[]
7315099,Dominican Restaurant,"['Dominican Food', 'Dominican Cuisine']"
7315057,Dongbei Restaurant,"['Dongbei Food', 'Dongbei Cuisine']"
7315079,Doughnut Restaurant,"['Doughnuts', 'Donuts', 'Donut Restaurant', 'Doughnut Shop']"
9361076,Drive Through Bottle Shop,['Drive Through Liquor Store']
7342003,Drive-In Movies,"['Drive-In Theater', 'Drive-in Theatre', 'Drive-In', 'Drive-In Cinema']"
7372016,Driving School,"[""Driver's Ed"", 'Driving Academy', 'Driving Tuition', ""Driver's Education""]"
9361051,Drug Store,"['Chemist', 'Drugstore']"
9361010,Dry Cleaner,['Dry Cleaning']
8099005,Dune,[]
7315014,Dutch Restaurant,"['Dutch Cuisine', 'Dutch Food']"
7315100,Egyptian Restaurant,"['Egyptian Cuisine', 'Egyptian Food']"
9361052,Electrical Appliances Shop,['Electrical Appliances Store']
9361011,Cameras & Photography,"['Cameras', 'Photography Store', 'Photography', 'Camera Store']"
9361012,Computer & Computer Supplies,"['Computer Store', 'Computer Supplies', 'Computer', 'Computer Shop']"
9361013,Consumer Electronics,"['Electronics Shop', 'Electronics', 'Electronics Store']"
9361014,Office Equipment,"['Office Supplies', 'Stationary Store']"
7315101,English Restaurant,"['English Cuisine', 'English Food']"
9352038,Equipment Rental,['Equipment Hire']
7315132,Erotic Restaurant,[]
7315102,Ethiopian Restaurant,"['Ethiopian Cuisine', 'Ethiopian Food']"
7315133,Exotic Restaurant,"['Exotic Cuisine', 'Exotic Food']"
9361016,Factory Outlet,"['Factory Store', 'Outlet Store']"
9362017,Fairground,[]
7335004,Farm,[]
